obs,Argentina,Developing Asia,Bulgaria,Brazil,Colombia,Ecuador,Latin America & Caribbean,Morocco,Mexico,Nigeria,Panama,Peru,Philippines,Poland,Russian Federation,Sub-Saharan Africa,"Venezuela, RB",World (WBG members),WorldAvg
1993M12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1994M01,101.0352,102.2046,100.4464,104.7519,100.4995,95.56571,101.1088,100.947,99.04739,101.4024,111.0887,105.7025,102.2513,101.1697,86.43775,101.8419,98.04371,99.90231,100.7470428
1994M02,98.741,100.6874,101.9531,104.0945,101.4061,98.791,98.7706,100.7388,96.28468,96.98249,120.8871,102.6637,100.7334,93.33939,68.25992,100.0069,92.0481,96.18325,98.47619056
1994M03,89.61522,89.86944,96.52122,91.19,102.1462,84.33435,88.875,88.16121,90.409,81.38129,101.0869,84.62168,89.91033,79.39936,61.77678,86.16417,78.87444,86.40314,87.26331833
1994M04,83.42714,85.1573,95.3593,76.34333,103.7663,68.08,80.57795,81.98262,85.61231,75.2326,72.01901,61.6285,85.19601,66.01816,52.77298,79.95275,74.3553,78.2055,78.09372556
1994M05,89.09909,89.9454,87.01519,73.40545,105.5051,74.31318,82.57184,91.67989,88.00245,75.96331,82.52401,66.09633,89.98636,73.69623,57.84118,86.23139,74.55945,80.69548,81.61840722
1994M06,86.91955,90.29483,96.7126,76.65273,108.0047,81.47,82.8029,92.81223,87.33198,76.46428,87.65579,72.74144,90.33595,84.79735,60.81682,87.1268,74.56951,81.6746,84.39911444
1994M07,84.76143,89.83079,95.09226,76.93714,110.1025,81.85524,80.76911,91.26083,86.27865,70.68117,80.95238,73.29602,89.87166,89.09314,58.31891,83.93726,63.94292,79.7911,82.59847278
1994M08,88.05261,92.3874,86.9848,85.64348,111.6072,97.51087,86.13094,93.33685,90.43558,67.94606,83.23543,78.69307,92.42928,95.08607,58.16672,84.24032,66.81846,84.3281,85.72406889
1994M09,88.10636,92.98448,101.7136,90.52909,113.2188,104.445,88.3131,93.36336,90.03992,74.51663,94.8772,86.13706,93.02667,100.742,74.05684,86.75381,71.39486,87.72147,90.66334722
