Obs,Battery,Time
66,1,1388
75,1,1388
92,2,1395
122,2,1397
60,1,1356
121,2,1397
125,2,1397
100,2,1395
97,2,1397
48,1,1322
60,1,1356
58,1,1379
102,2,1397
76,1,1388
109,2,1397
86,1,1388
105,2,1397
129,2,1397
76,1,1388
110,2,1397
124,2,1397
61,1,1393
99,2,1397
53,1,1339
66,1,1388
76,1,1388
44,1,1301
76,1,1388
118,2,1397
72,1,1388
84,1,1388
95,2,1397
85,1,1388
59,1,1390
114,2,1397
101,2,1397
112,2,1397
52,1,1353
105,2,1397
78,1,1388
114,2,1397
99,2,1397
111,2,1397
91,2,1395
89,2,1395
111,2,1397
45,1,1318
84,1,1388
106,2,1397
103,2,1397
84,1,1388
117,2,1397
81,1,1388
64,1,1388
49,1,1359
51,1,1369
70,1,1388
88,2,1395
100,2,1395
78,1,1388
122,2,1397
68,1,1388
82,1,1397
71,1,1388
99,2,1397
65,1,1397
84,1,1388
109,2,1397
50,1,1349
119,2,1397
72,1,1388
116,2,1397
73,1,1388
72,1,1388
84,1,1388
120,2,1397
118,2,1397
76,1,1388
110,2,1397
126,2,1397
80,1,1388
104,2,1397
77,1,1388
71,1,1388
108,2,1397
60,1,1356
104,2,1397
53,1,1339
64,1,1388
55,1,1383
63,1,1366
48,1,1322
98,2,1397
119,2,1397
110,2,1397
112,2,1397
82,1,1397
78,1,1388
113,2,1397
95,2,1397
99,2,1397
73,1,1388
66,1,1388
129,2,1397
98,2,1397
61,1,1393
54,1,1388
84,1,1388
123,2,1397
95,2,1397
127,2,1397
106,2,1397
74,1,1388
80,1,1388
55,1,1383
44,1,1301
105,2,1397
51,1,1369
81,1,1388
98,2,1397
129,2,1397
86,1,1388
85,1,1388
58,1,1379
108,2,1397
82,1,1397
87,2,1395
61,1,1393
62,1,1376
94,2,1395
93,2,1395
49,1,1359
46,1,1336
98,2,1397
123,2,1397
95,2,1397
91,2,1395
88,2,1395
128,2,1397
87,2,1395
102,2,1397
95,2,1397
63,1,1366
65,1,1397
106,2,1397
82,1,1397
58,1,1379
107,2,1397
52,1,1353
118,2,1397
96,2,1397
91,2,1395
71,1,1388
82,1,1397
86,1,1388
58,1,1379
89,2,1395
49,1,1359
67,1,1388
61,1,1393
67,1,1388
120,2,1397
81,1,1388
110,2,1397
119,2,1397
78,1,1388
48,1,1322
72,1,1388
105,2,1397
72,1,1388
97,2,1397
116,2,1397
117,2,1397
77,1,1388
76,1,1388
120,2,1397
99,2,1397
107,2,1397
95,2,1397
121,2,1397
68,1,1388
59,1,1390
120,2,1397
86,1,1388
119,2,1397
59,1,1390
108,2,1397
106,2,1397
125,2,1397
90,2,1395
104,2,1397
76,1,1388
51,1,1369
123,2,1397
67,1,1388
94,2,1395
52,1,1353
116,2,1397
70,1,1388
111,2,1397
66,1,1388
62,1,1376
87,2,1395
66,1,1388
58,1,1379
88,2,1395
91,2,1395
54,1,1388
65,1,1397
105,2,1397
126,2,1397
51,1,1369
109,2,1397
125,2,1397
114,2,1397
69,1,1386
99,2,1397
125,2,1397
125,2,1397
72,1,1388
65,1,1397
57,1,1373
71,1,1388
87,2,1395
123,2,1397
87,2,1395
65,1,1397
47,1,1362
79,1,1388
117,2,1397
73,1,1388
54,1,1388
75,1,1388
97,2,1397
76,1,1388
102,2,1397
102,2,1397
91,2,1395
80,1,1388
82,1,1397
69,1,1386
93,2,1395
122,2,1397
55,1,1383
79,1,1388
61,1,1393
80,1,1388
54,1,1388
83,1,1388
125,2,1397
109,2,1397
124,2,1397
83,1,1388
95,2,1397
85,1,1388
52,1,1353
64,1,1388
86,1,1388
75,1,1388
124,2,1397
88,2,1395
70,1,1388
67,1,1388
111,2,1397
104,2,1397
57,1,1373
48,1,1322
108,2,1397
96,2,1397
57,1,1373
48,1,1322
52,1,1353
76,1,1388
57,1,1373
68,1,1388
59,1,1390
65,1,1397
58,1,1379
84,1,1388
110,2,1397
45,1,1318
88,2,1395
119,2,1397
75,1,1388
47,1,1362
55,1,1383
70,1,1388
56,1,1343
54,1,1388
62,1,1376
62,1,1376
54,1,1388
128,2,1397
71,1,1388
87,2,1395
102,2,1397
51,1,1369
53,1,1339
47,1,1362
123,2,1397
101,2,1397
51,1,1369
85,1,1388
83,1,1388
75,1,1388
129,2,1397
58,1,1379
113,2,1397
48,1,1322
77,1,1388
55,1,1383
59,1,1390
116,2,1397
105,2,1397
66,1,1388
86,1,1388
50,1,1349
73,1,1388
127,2,1397
97,2,1397
100,2,1395
70,1,1388
78,1,1388
129,2,1397
117,2,1397
125,2,1397
113,2,1397
111,2,1397
66,1,1388
109,2,1397
128,2,1397
68,1,1388
77,1,1388
113,2,1397
49,1,1359
74,1,1388
81,1,1388
56,1,1343
93,2,1395
127,2,1397
129,2,1397
58,1,1379
90,2,1395
76,1,1388
101,2,1397
66,1,1388
83,1,1388
57,1,1373
75,1,1388
106,2,1397
85,1,1388
48,1,1322
111,2,1397
79,1,1388
128,2,1397
67,1,1388
116,2,1397
50,1,1349
120,2,1397
84,1,1388
52,1,1353
71,1,1388
115,2,1397
67,1,1388
94,2,1395
115,2,1397
49,1,1359
104,2,1397
103,2,1397
83,1,1388
81,1,1388
91,2,1395
123,2,1397
63,1,1366
62,1,1376
79,1,1388
72,1,1388
118,2,1397
58,1,1379
85,1,1388
80,1,1388
92,2,1395
100,2,1395
128,2,1397
63,1,1366
63,1,1366
112,2,1397
115,2,1397
52,1,1353
126,2,1397
55,1,1383
55,1,1383
123,2,1397
87,2,1395
56,1,1343
73,1,1388
100,2,1395
70,1,1388
73,1,1388
55,1,1383
100,2,1395
59,1,1390
126,2,1397
121,2,1397
125,2,1397
105,2,1397
75,1,1388
110,2,1397
43,1,1325
124,2,1397
129,2,1397
74,1,1388
108,2,1397
111,2,1397
104,2,1397
84,1,1388
86,1,1388
69,1,1386
103,2,1397
114,2,1397
80,1,1388
87,2,1395
100,2,1395
55,1,1383
72,1,1388
78,1,1388
50,1,1349
124,2,1397
115,2,1397
119,2,1397
124,2,1397
49,1,1359
75,1,1388
89,2,1395
52,1,1353
112,2,1397
107,2,1397
47,1,1362
84,1,1388
123,2,1397
46,1,1336
68,1,1388
86,1,1388
96,2,1397
65,1,1397
79,1,1388
74,1,1388
124,2,1397
53,1,1339
49,1,1359
126,2,1397
81,1,1388
75,1,1388
57,1,1373
47,1,1362
100,2,1395
93,2,1395
128,2,1397
95,2,1397
48,1,1322
57,1,1373
84,1,1388
43,1,1325
81,1,1388
65,1,1397
124,2,1397
105,2,1397
57,1,1373
84,1,1388
103,2,1397
83,1,1388
126,2,1397
104,2,1397
77,1,1388
53,1,1339
63,1,1366
118,2,1397
80,1,1388
86,1,1388
103,2,1397
109,2,1397
56,1,1343
116,2,1397
125,2,1397
94,2,1395
86,1,1388
59,1,1390
43,1,1325
119,2,1397
54,1,1388
44,1,1301
124,2,1397
68,1,1388
57,1,1373
